Date,consumer_sentiment,unemployment_rate,gdp_yoy_growth,cpi_yoy,consumer_sentiment_zscore,unemployment_rate_zscore,gdp_yoy_growth_zscore,cpi_yoy_zscore,maximalism_score,minimalism_score,fashion_index,consumer_sentiment_zscore_lag-11,unemployment_rate_zscore_lag-6,gdp_yoy_growth_zscore_lag12,cpi_yoy_zscore_lag1
2008-01-01,78.4,5.0,3.453144706492872,4.294695655165981,-0.0482534095556407,-0.3519050294948286,-0.3138191934686984,0.9061245990940284,-0.8541119480224207,-0.839482917002502,-0.0146290310199187,-1.4092651741231634,0.0264632582180117,0.0359156139974022,0.8094238253719537
2008-02-01,70.8,4.9,3.3744543741862643,4.142959270611968,-0.6134823391028091,-0.3992010654589336,-0.3392976556654627,0.8271873967423438,-0.8541119480224207,-0.8487076440311947,-0.005404303991226,-1.327455723793968,0.1683513661103267,0.0558190149740592,0.9061245990940284
2008-03-01,69.5,5.1,3.2964460679340446,3.9749035501344343,-0.7101662349464034,-0.3046089935307238,-0.3645552905441236,0.7397604526202435,-0.6450868841823698,-0.8487076440311947,0.2036207598488248,-1.6918796388967476,0.1683513661103267,0.075573027654566,0.8271873967423438
2008-04-01,62.6,5.0,3.2191109590960387,3.903760975988813,-1.2233346051931742,-0.3519050294948286,-0.3895949566537345,0.7027502405497585,-0.6683118912757088,-0.8487076440311947,0.1803957527554859,-1.6175074113247518,0.3575355099667472,0.0951793276388471,0.7397604526202435
2008-05-01,59.8,5.4,2.9102375535705383,4.088413823123993,-1.4315768423947626,-0.1627208856384082,-0.4896024055434437,0.7988114403863467,-0.8418777684373394,-0.8487076440311947,0.0068298755938552,-1.0374040362631851,0.4994236178590623,0.1262952501825171,0.7027502405497585
2008-06-01,56.4,5.6,2.6036636168687677,4.935966105947864,-1.684442416139548,-0.0681288137101985,-0.5888653293081381,1.2397301181942053,-0.8418777684373394,-0.8487076440311947,0.0068298755938552,-0.7696640170039999,0.7359037976795876,0.1572360516440054,0.7988114403863467
2008-07-01,61.2,5.8,2.299363565947732,5.497512078341837,-1.327455723793968,0.0264632582180117,-0.6873920112600711,1.5318608960753517,-0.8418777684373394,-0.839482917002502,-0.0023948514348374,-0.6134823391028091,0.9723839775001129,0.188003206252643,1.2397301181942053
2008-08-01,63.0,6.1,1.2839250300821226,5.308017162091239,-1.193585714164376,0.1683513661103267,-1.0161720734458943,1.4332807263114908,-0.6090060214655377,-0.8487076440311947,0.2397016225656569,-0.9704690314483886,1.208864157320639,0.1671528922131196,1.5318608960753517
2008-09-01,70.3,6.1,0.2754542851105102,4.953319875136075,-0.650668452888807,0.1683513661103267,-1.3426960948744373,1.2487579989757367,-0.548456799578543,-0.839482917002502,0.291026117423959,-0.9927806997199872,1.398048301177058,0.146470946118519,1.4332807263114908
2008-10-01,57.6,6.5,-0.7261201416943086,3.7310578899565128,-1.595195743053153,0.3575355099667472,-1.6669872170819564,0.6129056163420473,-0.5729251587487056,-0.8487076440311947,0.275782485282489,-0.4126773246584204,1.5399364090693737,0.12595533679297,1.2487579989757367
2008-11-01,55.3,6.8,-1.1086794209638096,1.0999174706166848,-1.7662518664687434,0.4994236178590623,-1.790852777808161,-0.7558818653656909,-0.8418777684373394,-0.8487076440311947,0.0068298755938552,-0.6283567846172086,1.729120552925794,-0.0218568180686518,0.6129056163420473
2008-12-01,60.1,7.3,-1.4913864248146114,-0.022228002553859,-1.4092651741231634,0.7359037976795876,-1.9147661689990485,-1.33965104204697,-0.8418777684373394,-0.8487076440311947,0.0068298755938552,-0.8663479128475942,1.7764165888898988,-0.1684432671670258,-0.7558818653656909
2009-01-01,61.2,7.8,-1.8742412388286112,-0.1135860190221271,-1.327455723793968,0.9723839775001129,-2.0387274183644397,-1.387177851477685,-0.598636869995692,-0.8487076440311947,0.2500707740355027,-0.4870495522304162,1.7764165888898988,-0.3138191934686984,-1.33965104204697
2009-02-01,56.3,8.3,-2.339127388274531,0.0084631406715107,-1.6918796388967476,1.208864157320639,-2.1892488844361058,-1.3236847134020224,-0.8663461276075021,-0.8487076440311947,-0.0176384835763073,-0.3457423198436238,1.823712624854004,-0.3392976556654627,-1.387177851477685
2009-03-01,57.3,8.7,-2.8006833800126474,-0.4464787676623838,-1.6175074113247518,1.398048301177058,-2.338692107542207,-1.5603572925066789,-0.5631776833172715,-0.839482917002502,0.2763052336852305,-0.4052401019012212,1.9183046967822144,-0.3645552905441236,-1.3236847134020224
2009-04-01,65.1,9.0,-3.2589448691319634,-0.5763244243767063,-1.0374040362631851,1.5399364090693737,-2.4870686321356734,-1.6279063705255854,-0.8296435888522581,-0.839482917002502,0.0098393281502439,-0.4052401019012212,2.012896768710424,-0.3895949566537345,-1.5603572925066789
2009-05-01,68.7,9.4,-3.179552431088395,-1.015761495855172,-0.7696640170039999,1.729120552925794,-2.461362841194031,-1.8565129313981337,-0.0882892776932909,-0.8123125084552953,0.7240232307620045,-0.5093612205020147,1.9656007327463192,-0.4896024055434437,-1.6279063705255854
2009-06-01,70.8,9.5,-3.1002783714801474,-1.2291746182109151,-0.6134823391028091,1.7764165888898988,-2.4356953789822446,-1.9675359722687529,-0.6322310285588767,-0.8302581899738092,0.1980271614149324,-0.4052401019012212,1.9656007327463192,-0.5888653293081381,-1.8565129313981337
2009-07-01,66.0,9.5,-3.021122425741485,-1.9587610037622771,-0.9704690314483886,1.7764165888898988,-2.410066159838862,-2.3470857310070827,-0.5741685108255293,-0.8035915539654741,0.2294230431399447,-0.226746755728431,1.9183046967822144,-0.6873920112600711,-1.9675359722687529
2009-08-01,65.7,9.6,-1.9303472597873572,-1.4838355663267633,-0.9927806997199872,1.823712624854004,-2.0568935016952157,-2.100017201814174,-0.607762669388714,-0.839482917002502,0.2317202476137879,-0.8365990218187964,1.9183046967822144,-1.0161720734458943,-2.3470857310070827
2009-09-01,73.5,9.8,-0.8251922451509519,-1.377942862886472,-0.4126773246584204,1.9183046967822144,-1.6990649167012533,-2.044929071280408,-0.5613126552020361,-0.839482917002502,0.2781702618004659,-0.7547895714896005,1.9656007327463192,-1.3426960948744373,-2.100017201814174
2009-10-01,70.6,10.0,0.2946288624430249,-0.2239682942003384,-0.6283567846172086,2.012896768710424,-1.3364877242984703,-1.4446015736613391,-0.3535282882098715,-0.839482917002502,0.4859546287926305,-0.8068501307899977,1.9656007327463192,-1.6669872170819564,-2.044929071280408
