Date,consumer_sentiment,cpi_inflation,unemployment_rate,gdp_growth,gdp_yoy_growth,cpi_yoy,consumer_sentiment_zscore,unemployment_rate_zscore,gdp_yoy_growth_zscore,cpi_yoy_zscore
2009-03-01,57.3,212.495,8.7,14397.791333333334,-2.8006833800126474,-0.4464787676623838,-1.6175074113247518,1.3980483011770581,-2.338692107542207,-1.5603572925066787
2009-04-01,65.1,212.709,9.0,14381.236,-3.2589448691319634,-0.5763244243767063,-1.0374040362631851,1.5399364090693737,-2.4870686321356734,-1.6279063705255854
2009-05-01,68.7,213.022,9.4,14403.784666666666,-3.179552431088395,-1.015761495855172,-0.7696640170039999,1.729120552925794,-2.461362841194031,-1.8565129313981337
2009-06-01,70.8,214.79,9.5,14426.333333333334,-3.1002783714801474,-1.2291746182109153,-0.6134823391028091,1.7764165888898988,-2.4356953789822446,-1.9675359722687527
2009-07-01,66.0,214.726,9.5,14448.882,-3.021122425741485,-1.9587610037622771,-0.9704690314483886,1.7764165888898988,-2.410066159838862,-2.3470857310070827
2009-08-01,65.7,215.445,9.6,14516.337666666666,-1.9303472597873572,-1.4838355663267633,-0.9927806997199872,1.8237126248540039,-2.0568935016952157,-2.100017201814174
2009-09-01,73.5,215.861,9.8,14583.793333333333,-0.8251922451509519,-1.377942862886472,-0.4126773246584204,1.9183046967822144,-1.6990649167012533,-2.044929071280408
2009-10-01,70.6,216.509,10.0,14651.249,0.2946288624430249,-0.22396829420033848,-0.6283567846172086,2.0128967687104242,-1.3364877242984703,-1.4446015736613393
2009-11-01,67.4,217.234,9.9,14689.036,0.9617726815758676,1.9145871744709275,-0.8663479128475942,1.9656007327463194,-1.120478996449271,-0.3320695579092813
2009-12-01,72.5,217.347,9.9,14726.823,1.6343588395062003,2.8141231232083674,-0.4870495522304162,1.9656007327463194,-0.9027081407852654,0.1358923710427421
2010-01-01,74.4,217.488,9.8,14764.61,2.3124542041793372,2.6211113889767157,-0.3457423198436238,1.9183046967822144,-0.6831535067127028,0.03548266136055283
2010-02-01,73.6,217.281,9.8,14836.471,2.9285013264562343,2.151336357866529,-0.40524010190122123,1.9183046967822144,-0.4836889364628281,-0.2089064928921213
