Date,maximalism_score,minimalism_score,fashion_index
2010-06-01,-0.5393310001855207,-0.8302581899738092,0.29092718978828846
2010-07-01,-0.6554560356522158,-0.8302581899738092,0.1748021543215934
2010-08-01,-0.6316093525204648,-0.8123125084552953,0.18070315593483055
2010-09-01,-0.6206185250122072,-0.839482917002502,0.21886439199029484
2010-10-01,-0.5264724893330902,-0.839482917002502,0.3130104276694118
2010-11-01,-0.585159338333787,-0.782901803722182,0.19774246538839502
2010-12-01,-0.12216369877848317,-0.839482917002502,0.7173192182240188
2011-01-01,-0.6438435321055461,-0.8210334629451165,0.17718993083957035
2011-02-01,-0.6208567611980891,-0.7754136003405245,0.15455683914243545
2011-03-01,-0.5456849985494745,-0.7659369870423959,0.22025198849292138
2011-04-01,-0.7135185533855631,-0.7477394192544463,0.03422086586888318
2011-05-01,-0.5505600638796604,-0.7200652381683682,0.16950517428870782
2011-06-01,-0.5264751445620277,-0.7200652381683682,0.1935900936063405
2011-07-01,-0.5973935179188683,-0.7200652381683682,0.1226717202494999
2011-08-01,-0.6057550928357681,-0.7108405111396754,0.10508541830390727
2011-09-01,-0.523224215932258,-0.7016157841109828,0.1783915681787248
2011-10-01,-0.488384050063312,-0.7108405111396754,0.2224564610763634
2011-11-01,-0.4931165669557872,-0.7477394192544463,0.2546228522986591
2011-12-01,-0.31815947882174744,-0.7474875329850105,0.42932805416326303
2012-01-01,-0.494121682846729,-0.6963870450425546,0.20226536219582553
2012-02-01,-0.26349574861375524,-0.6739416030249046,0.41044585441114934
2012-03-01,-0.16997404420198753,-0.600143786795363,0.4301697425933754
2012-04-01,-0.09580739744431481,-0.5263459705658212,0.4305385731215064
2012-05-01,-0.15511326725448588,-0.48022233542235765,0.3251090681678718
2012-06-01,-0.18932910185608254,-0.36168250247540285,0.1723534006193203
2012-07-01,-0.2838532669298545,-0.42487397325020143,0.1410207063203469
2012-08-01,-0.3054541373227774,-0.34065019675332897,0.035196059430551596
2012-09-01,-0.2977115832153519,-0.43096458204905125,0.13325299883369934
2012-10-01,-0.4286973956295485,-0.5045105120091573,0.0758131163796088
2012-11-01,-0.1377271311533927,-0.5949150477269348,0.45718791657354213
2012-12-01,0.007692977859479933,-0.6185932408527484,0.6262862187122283
2013-01-01,-0.13147425099687654,-0.4625588722729164,0.3310846212760399
2013-02-01,-0.3786183234184459,-0.43623597751325205,0.057617654094806126
2013-03-01,0.6701322520448179,-0.25061170478278305,0.9207439568276009
2013-04-01,0.18745088223615586,-0.04048647460479966,0.2279373568409555
2013-05-01,0.05417457551806839,0.013413163627912627,0.040761411890155766
2013-06-01,-0.037288844210571395,0.13280051036240942,-0.1700893545729808
2013-07-01,-0.26283777475141046,-0.01278635828299155,-0.2500514164684189
2013-08-01,0.025931656603906773,-0.0837827587424392,0.10971441534634598
2013-09-01,-0.4802633665612316,-0.241669196123163,-0.23859417043806858
2013-10-01,-0.06787001227694213,-0.37847025112173444,0.3106002388447923
2013-11-01,-0.18632756838365355,-0.4944505954890581,0.30812302710540457
2013-12-01,0.45894809573804396,-0.5550276967296426,1.0139757924676864
2014-01-01,-0.1630101248769334,-0.4181845080110514,0.255174383134118
2014-02-01,-0.41971414467423684,-0.1677646093441257,-0.2519495353301111
2014-03-01,-0.15436020174982232,-0.08761765482600632,-0.066742546923816
2014-04-01,0.03740704217213198,0.12909049236916417,-0.0916834501970322
2014-05-01,-0.1955514127008583,0.39176686131375976,-0.5873182740146181
2014-06-01,-0.3964891375808979,0.0753878594513047,-0.4718769970322026
